,movie_name,release_date,score,genre,budget,revenue,country,release_year
1995,The Neverending Story,1984-12-26,72.0,"Adventure, Fantasy, Family, Drama",27000000.0,20158808.0,AU,1984.0
1996,High & Low The Worst X,2022-09-09,73.0,"Action, Drama, Crime, Thriller",89900000.0,385422345.0,JP,2022.0
1997,Women Talking,2023-02-16,70.0,Drama,30408000.0,7589419.0,AU,2023.0
1998,Fantastic Four: Rise Of The Silver Surfer,2007-10-06,56.0,"Adventure, Fantasy, Action, Thriller",120000000.0,289480691.0,AU,2007.0
1999,The Departed,2006-10-06,82.0,"Drama, Thriller, Crime",90000000.0,289660619.0,AU,2006.0
2000,Barbie In The Nutcracker,2002-10-30,68.0,"Animation, Family",98140000.0,494358731.6,AU,2002.0
2001,Cannibal Holocaust,1980-02-07,63.0,Horror,100000.0,183851589.4,IT,1980.0
2002,Porno,2020-05-08,63.0,"Comedy, Horror",83600000.0,373122738.8,US,2020.0
2003,Kick-Ass 2,2013-08-08,64.0,"Action, Adventure, Crime",28000000.0,63129909.0,AU,2013.0
2004,The Matrix Reloaded,2003-05-16,70.0,"Adventure, Action, Thriller, Science Fiction",150000000.0,738576929.0,AU,2003.0
2005,Don'T Stop My Crazy Love For You,1993-04-28,40.0,"Thriller, Drama, Horror",101800000.0,858637629.0,HK,1993.0
2006,Barbie As The Island Princess,2007-09-18,72.0,"Animation, Family",115500000.0,425732545.6,US,2007.0
2007,101 Dalmatians,1996-12-05,59.0,"Family, Comedy",54000000.0,320689294.0,AU,1996.0
2008,The Adventures Of Sharkboy And Lavagirl,2005-06-10,51.0,"Adventure, Family, Science Fiction",50000000.0,71992655.0,US,2005.0
2009,Minions,2015-06-18,64.0,"Family, Animation, Adventure, Comedy",74000000.0,1157271759.0,AU,2015.0
2010,Space Sweepers,2021-02-05,71.0,"Drama, Fantasy, Science Fiction",21000000.0,24571.0,KR,2021.0
2011,Happy Feet Two,2011-12-20,61.0,"Animation, Comedy, Family",135000000.0,157956462.0,AU,2011.0
2012,The Boy Who Harnessed The Wind,2019-02-14,79.0,"Drama, History, Family",160000000.0,527512518.0,GB,2019.0
2013,Nobody Sleeps In The Woods Tonight,2020-03-13,52.0,"Horror, Thriller",121600000.0,346296946.4,PL,2020.0
2014,The Japanese Wife Next Door: Part 2,2004-06-25,63.0,Comedy,110000000.0,271669045.6,JP,2004.0
2015,Peter Von Kant,2022-07-06,55.0,"Drama, Romance",127800000.0,578598408.0,FR,2022.0
2016,Raped By An Angel 4: The Rapist'S Union,1999-01-17,58.0,Thriller,97140000.0,181655466.4,HK,1999.0
2017,Superman: Doomsday,2007-11-20,68.0,"Action, Animation, Science Fiction, Family",3500000.0,279809037.0,AU,2007.0
2018,Robin Hood,2010-05-12,64.0,"Action, Adventure, Drama",210000000.0,322459006.0,AU,2010.0
2019,Robin Hood,2010-05-12,64.0,"Action, Adventure, Drama",99000000.0,85210012.0,AU,2010.0
2020,"Moses, Prince Of Egypt",2000-01-01,56.0,,80300000.0,321306715.6,AU,2000.0
2021,Three Sexy Meals,2016-11-09,25.0,"Drama, Romance",9541040.0,38139010.0,KR,2016.0
2022,The Texas Chainsaw Massacre: The Beginning,2006-11-16,61.0,"Horror, Thriller",16000000.0,50517763.0,AU,2006.0
2023,Dead Poets Society,1989-07-21,83.0,Drama,16400000.0,239500000.0,AU,1989.0
2024,Jigsaw,2017-10-27,62.0,"Horror, Crime, Mystery, Thriller",10000000.0,104223315.0,US,2017.0
2025,Oz The Great And Powerful,2013-03-07,59.0,"Fantasy, Adventure, Family",200000000.0,490359051.0,AU,2013.0
2026,Pan'S Labyrinth,2006-10-10,78.0,"Fantasy, Drama, War",19000000.0,83258226.0,AU,2006.0
2027,Bruiser,2022-12-02,66.0,Drama,47220616.4,319773152.6,US,2022.0
2028,Greyhound,2020-07-10,74.0,"War, Action, Drama",50300000.0,0.0,AU,2020.0
2029,Little Man,2006-08-31,59.0,"Comedy, Crime",64000000.0,101636047.0,US,2006.0
